Reading,Currency,Max,Min,Mean,Vol,FD,R
17,AUD_USD,0.6657,0.6653,0.6654711,0.0004,11425.0,-7.41e-05
17,GBP_EUR,1.1558,1.155485,1.1556022,0.000315,15936.507936507936,4.42e-05
17,USD_CAD,1.34835,1.34805,1.3481712,0.0003,21300.0,-0.0001478
17,USD_JPY,138.876,138.8495,138.863675,0.0265,92.83018867924528,6.93e-05
17,USD_MXN,19.3053,19.29527,19.3001093,0.01003,543.369890329013,-1.16e-05
17,EUR_USD,1.03545,1.03505,1.0352158,0.0004,18325.0,-0.000182
17,EUR_JPY,143.7745,143.725,143.7545456,0.0495,168.48484848484847,-0.0001023
17,USD_CZK,23.5007,23.493,23.4980189,0.0077,171.42857142857142,0.0001775
17,USD_PLN,4.520838,4.518504,4.51974,0.002334,3676.092544987146,0.0001414
17,USD_INR,81.68505,81.65545,81.6732174,0.0296,165.2027027027027,-1.65e-05
18,AUD_USD,0.6655,0.6651,0.6652621,0.0004,15600.0,-0.0003141
18,GBP_EUR,1.1559,1.1555,1.1557298,0.0004,19750.0,0.0001104
18,USD_CAD,1.34855,1.34815,1.3482999,0.0004,19025.0,9.55e-05
18,USD_JPY,138.906,138.866,138.888975,0.04,95.75,0.0001822
18,USD_MXN,19.3064,19.29596,19.3046577,0.01044,454.0229885057471,0.0002357
18,EUR_USD,1.03525,1.03479,1.0349641,0.00046,17869.565217391304,-0.0002431
18,EUR_JPY,143.78,143.715,143.7457123,0.065,144.92307692307693,-6.14e-05
18,USD_CZK,23.5065,23.4974,23.5035987,0.0091,674.7252747252747,0.0002375
18,USD_PLN,4.521964,4.518039,4.5209343,0.003925,2501.910828025478,0.0002642
18,USD_INR,81.68605,81.6505,81.6715685,0.03555,236.8495077355837,-2.02e-05
19,AUD_USD,0.6655,0.6651,0.6653079,0.0004,13725.0,6.88e-05
19,GBP_EUR,1.156,1.1556,1.1558118,0.0004,13950.0,7.1e-05
19,USD_CAD,1.34865,1.34815,1.348409,0.0005,11000.0,8.09e-05
19,USD_JPY,138.912,138.892,138.9033514,0.02,197.5,0.0001035
19,USD_MXN,19.3095,19.3045,19.3060213,0.005,200.0,7.06e-05
19,EUR_USD,1.03515,1.03463,1.0348252,0.00052,11692.307692307693,-0.0001342
19,EUR_JPY,143.773,143.705,143.7426369,0.068,86.17647058823529,-2.14e-05
19,USD_CZK,23.51965,23.50135,23.5073511,0.0183,549.1803278688525,0.0001597
19,USD_PLN,4.5222865,4.5200405,4.5213819,0.002246,1985.7524487978626,9.9e-05
19,USD_INR,81.68655,81.67215,81.6825878,0.0144,193.75,0.0001349
20,AUD_USD,0.6654,0.665,0.6651789,0.0004,15000.0,-0.0001939
20,GBP_EUR,1.1563,1.155705,1.1560533,0.000595,10352.941176470587,0.0002089
20,USD_CAD,1.34875,1.348245,1.3484643,0.000505,9069.306930693068,4.1e-05
20,USD_JPY,138.912,138.875,138.8931625,0.037,158.3783783783784,-7.34e-05
20,USD_MXN,19.3104,19.3013,19.3062367,0.0091,417.5824175824176,1.12e-05
20,EUR_USD,1.03475,1.03445,1.0345994,0.0003,18300.0,-0.0002182
20,EUR_JPY,143.7235,143.675,143.7015397,0.0485,149.0721649484536,-0.0002859
20,USD_CZK,23.515,23.5028,23.5122335,0.0122,160.65573770491804,0.0002077
20,USD_PLN,4.522889,4.521329,4.522039,0.00156,5192.307692307692,0.0001453
20,USD_INR,81.68655,81.67215,81.6830533,0.0144,318.05555555555554,5.7e-06
21,AUD_USD,0.6653,0.665,0.6651921,0.0003,19300.0,1.98e-05
21,GBP_EUR,1.1564,1.1561,1.1562628,0.0003,12600.0,0.0001812
21,USD_CAD,1.34875,1.34825,1.348468,0.0005,10580.0,2.7e-06
21,USD_JPY,138.8865,138.821,138.8587333,0.0655,84.27480916030534,-0.0002479
21,USD_MXN,19.3024,19.2972,19.3008336,0.0052,411.53846153846155,-0.0002799
21,EUR_USD,1.03475,1.03445,1.0345477,0.0003,27733.333333333336,-5e-05
21,EUR_JPY,143.71074,143.61,143.6587196,0.10074,85.66607107405201,-0.000298
21,USD_CZK,23.51535,23.5014,23.5125481,0.01395,278.85304659498206,1.34e-05
21,USD_PLN,4.523294,4.521039,4.5222666,0.002255,5920.177383592018,5.03e-05
21,USD_INR,81.68705,81.67235,81.6849614,0.0147,187.0748299319728,2.34e-05
22,AUD_USD,0.665195,0.6645,0.6647698,0.000695,10215.827338129497,-0.0006349
22,GBP_EUR,1.1564,1.1559,1.1561054,0.0005,19100.0,-0.0001361
