Reading,Currency,Max,Min,Mean,Vol,FD,R
53,AUD_USD,0.6654,0.6651,0.6652486,0.0003,13166.66667,8.63E-05
54,AUD_USD,0.6653,0.6649,0.6650972,0.0004,19725,-0.0002276
55,AUD_USD,0.6653,0.6648,0.665009,0.0005,7400,-0.0001326
56,AUD_USD,0.66501,0.6648,0.6648899,0.00021,9523.809524,-0.0001791
57,AUD_USD,0.664905,0.6647,0.6648574,0.000205,12292.68293,-4.89E-05
58,AUD_USD,0.6651,0.6648,0.6648981,0.0003,23633.33333,6.12E-05
59,AUD_USD,0.6652,0.664805,0.6649898,0.000395,15696.20253,0.0001379
60,AUD_USD,0.6653,0.665,0.6651732,0.0003,12133.33333,0.0002758
61,AUD_USD,0.6653,0.665,0.6651826,0.0003,15500,1.41E-05
62,AUD_USD,0.6653,0.6651,0.6651826,0.0002,19650,0
63,AUD_USD,0.6653,0.664955,0.6651172,0.000345,20318.84058,-9.83E-05
64,AUD_USD,0.6651,0.6648,0.6649688,0.0003,13800,-0.0002231
65,AUD_USD,0.6653,0.66498,0.665148,0.00032,11250,0.0002695
66,AUD_USD,0.6653,0.6651,0.6651865,0.0002,13800,5.79E-05
67,AUD_USD,0.6655,0.6651,0.6652672,0.0004,14425,0.0001213
68,AUD_USD,0.6656,0.6652,0.6653757,0.0004,9600,0.0001631
69,AUD_USD,0.6655,0.6652,0.6653449,0.0003,10133.33333,-4.63E-05
70,AUD_USD,0.6655,0.6652,0.6653535,0.0003,16533.33333,1.29E-05
71,AUD_USD,0.6657,0.665235,0.6654463,0.000465,15161.29032,0.0001395
72,AUD_USD,0.6654,0.6648,0.66521,0.0006,11700,-0.0003551
73,AUD_USD,0.6654,0.6651,0.6652282,0.0003,6333.333333,2.74E-05
74,AUD_USD,0.6655,0.6652,0.6653431,0.0003,16466.66667,0.0001727
75,AUD_USD,0.6655,0.6652,0.6653685,0.0003,18566.66667,3.82E-05
76,AUD_USD,0.6656,0.6653,0.6654844,0.0003,22533.33333,0.0001742
77,AUD_USD,0.6656,0.665375,0.6654973,0.000225,25822.22222,1.94E-05
78,AUD_USD,0.6656,0.6653,0.6654473,0.0003,28133.33333,-7.51E-05
79,AUD_USD,0.6655,0.6653,0.6654152,0.0002,33050,-4.82E-05
80,AUD_USD,0.6656,0.6653,0.6654724,0.0003,30333.33333,8.60E-05
81,AUD_USD,0.6657,0.665265,0.6654983,0.000435,16896.55172,3.89E-05
82,AUD_USD,0.6656,0.665165,0.6652608,0.000435,10229.88506,-0.0003569
83,AUD_USD,0.6653,0.665,0.6651573,0.0003,11133.33333,-0.0001556
84,AUD_USD,0.6652,0.6649,0.6650438,0.0003,17166.66667,-0.0001706
85,AUD_USD,0.6653,0.6649,0.6651218,0.0004,13025,0.0001173
86,AUD_USD,0.6652,0.665,0.6651155,0.0002,15600,-9.50E-06
87,AUD_USD,0.6656,0.665,0.6652648,0.0006,19466.66667,0.0002245
88,AUD_USD,0.6656,0.6651,0.6653872,0.0005,4920,0.000184
89,AUD_USD,0.6653,0.665,0.6651671,0.0003,8166.666667,-0.0003308
90,AUD_USD,0.6653,0.665,0.6651672,0.0003,14533.33333,2.00E-07
91,AUD_USD,0.6653,0.6649,0.6650573,0.0004,18400,-0.0001652
92,AUD_USD,0.6653,0.6649,0.6650618,0.0004,10100,6.80E-06
93,AUD_USD,0.6653,0.665,0.6651803,0.0003,14600,0.0001782
94,AUD_USD,0.6655,0.665,0.6652194,0.0005,12200,5.88E-05
95,AUD_USD,0.6657,0.6652,0.6654937,0.0005,8880,0.0004123
96,AUD_USD,0.6659,0.6655,0.6656669,0.0004,8975,0.0002603
97,AUD_USD,0.6659,0.6655,0.6657405,0.0004,12325,0.0001106
98,AUD_USD,0.6658,0.6655,0.6656333,0.0003,15333.33333,-0.000161
